Class,class_num,Species,CHM,GreenVariance,GreenSkewness,GreenEntropy,GreenBand2,BlueBand3,RedBand1
shrub,1,sagebrush,10.3546324,5.4070444,0.0507732,5.4070444,121,90,122
shrub,1,sagebrush,0.812221,5.3779345,-0.8278184,5.3779345,200,186,194
shrub,1,sagebrush,-36.1685524,5.4017568,-0.6357524,5.4017568,153,136,150
shrub,1,sagebrush,-8.6836662,5.39748,-1.1868453,5.39748,197,180,190
shrub,1,sagebrush,4.0922184,5.4099789,-0.4938641,5.4099789,193,173,191
shrub,1,sagebrush,-16.2006397,5.3943086,-0.6206032,5.3943086,159,142,154
shrub,1,sagebrush,1.7880325,5.3917294,-0.9403287,5.3917294,174,151,172
shrub,1,sagebrush,-28.2774582,5.4121747,-0.072185,5.4121747,167,156,164
shrub,1,sagebrush,-29.7232246,5.390048,-0.460584,5.390048,132,114,129
shrub,1,sagebrush,8.2756062,5.4102702,-0.5991251,5.4102702,160,140,164
shrub,1,sagebrush,-12.0483027,5.4040513,-0.9882398,5.4040513,177,156,173
shrub,1,sagebrush,7.9254208,5.4113374,-0.6099444,5.4113374,164,145,169
shrub,1,sagebrush,7.9110398,5.3956928,-1.0088199,5.3956928,124,109,120
shrub,1,sagebrush,-27.460556,5.4008431,-0.5310233,5.4008431,141,130,134
shrub,1,sagebrush,-28.9039192,5.3917818,-0.1894305,5.3917818,134,120,122
shrub,1,sagebrush,-39.695446,5.4007621,-1.453982,5.4007621,189,173,182
shrub,1,sagebrush,-4.7956834,5.3703194,0.0614116,5.3703194,97,81,90
shrub,1,sagebrush,-30.1013641,5.412364,-0.4467953,5.412364,186,173,184
shrub,1,sagebrush,-27.0772705,5.4094524,-0.3949517,5.4094524,175,158,172
shrub,1,sagebrush,-26.9261284,5.3975539,-0.4401275,5.3975539,153,137,146
shrub,1,sagebrush,-22.7135067,5.376462,-0.5239442,5.376462,108,93,104
shrub,1,sagebrush,-9.1412954,5.3960047,-0.3427193,5.3960047,151,135,143
shrub,1,sagebrush,-26.8919582,5.3547673,-0.0752238,5.3547673,109,95,103
