Class,class_num,Species,CHM,GreenVariance,GreenSkewness,GreenEntropy,GreenBand2,BlueBand3,RedBand1
shrub,1,sagebrush,-23.7616634,5.3052506,1.3647827,5.3052506,79,79,70
shrub,1,sagebrush,-13.7946682,5.3400297,0.8453018,5.3400297,153,138,147
shrub,1,sagebrush,-13.4404421,5.3957863,0.0532318,5.3957863,155,138,151
shrub,1,sagebrush,-21.2205677,5.374577,1.200601,5.374577,90,66,79
shrub,1,sagebrush,-31.1434631,5.3640623,0.3956113,5.3640623,80,75,78
shrub,1,sagebrush,-22.3782806,5.3595676,0.7187248,5.3595676,109,91,100
shrub,1,sagebrush,-33.1222305,5.3655634,0.9929677,5.3655634,150,144,145
shrub,1,sagebrush,-6.760704,5.3531957,1.4398086,5.3531957,80,76,76
shrub,1,sagebrush,-29.3751431,5.3458519,0.5315377,5.3458519,128,124,117
shrub,1,sagebrush,-33.374218,5.2794743,0.8605415,5.2794743,53,55,43
shrub,1,sagebrush,-16.3926277,5.3826599,0.210441,5.3826599,149,132,142
shrub,1,sagebrush,-28.9257984,5.3804932,1.0130311,5.3804932,86,68,76
shrub,1,rubber rabbitbrush,36.1905785,5.3850045,-0.6005678,5.3850045,180,122,189
shrub,1,rubber rabbitbrush,39.1950302,5.3600073,0.3307727,5.3600073,127,66,143
shrub,1,rubber rabbitbrush,29.0039558,5.3815746,-0.2828282,5.3815746,111,50,127
shrub,1,rubber rabbitbrush,30.2091827,5.3852086,0.1146528,5.3852086,167,115,180
shrub,1,rubber rabbitbrush,36.5402222,5.3976445,0.1365977,5.3976445,171,109,181
shrub,1,rubber rabbitbrush,51.9831047,5.3923287,0.345013,5.3923287,148,93,145
shrub,1,rubber rabbitbrush,25.2531452,5.3673725,-0.3155453,5.3673725,193,136,209
shrub,1,rubber rabbitbrush,48.6623611,5.3875909,0.0458564,5.3875909,222,149,237
shrub,1,snowberry,6.7624102,5.3627567,1.2379618,5.3627567,92,56,76
shrub,1,snowberry,10.6883335,5.3443699,0.5364731,5.3443699,62,51,51
shrub,1,snowberry,59.2587776,5.3229718,1.2880818,5.3229718,70,53,59
shrub,1,snowberry,13.9786587,5.3373098,1.5714229,5.3373098,88,66,76
shrub,1,snowberry,70.8004227,5.3305073,1.0763595,5.3305073,88,70,73
shrub,1,snowberry,42.1482582,5.3869643,0.2759784,5.3869643,153,134,143
shrub,1,snowberry,-4.2186399,5.3851786,-0.0018177,5.3851786,123,100,110
shrub,1,snowberry,67.6876602,5.3871799,0.0442749,5.3871799,148,130,136
shrub,1,snowberry,32.8328972,5.3471174,0.328465,5.3471174,112,107,93
shrub,1,snowberry,-5.7184272,5.3694062,0.6443106,5.3694062,89,79,73
shrub,1,snowberry,9.939333,5.3163204,0.4051917,5.3163204,100,88,93
shrub,1,rubber rabbitbrush,19.0001278,5.3326802,0.4362943,5.3326802,116,94,102
shrub,1,rubber rabbitbrush,28.3745785,5.3837814,0.5063766,5.3837814,92,57,75
shrub,1,rubber rabbitbrush,20.0400944,5.396574,0.3004912,5.396574,114,66,96
shrub,1,rubber rabbitbrush,17.3838978,5.3809714,-0.0631065,5.3809714,180,142,162
shrub,1,rubber rabbitbrush,36.2026749,5.3869314,0.2238729,5.3869314,110,57,97
shrub,1,rubber rabbitbrush,33.8962173,5.3800774,-0.0206542,5.3800774,137,95,119
shrub,1,rubber rabbitbrush,29.7784119,5.3641262,0.2938974,5.3641262,98,59,82
shrub,1,rubber rabbitbrush,28.7099895,5.3859682,0.090846,5.3859682,113,79,96
shrub,1,rubber rabbitbrush,32.8720284,5.383687,0.7707592,5.383687,161,127,145
shrub,1,rubber rabbitbrush,36.3016319,5.3959961,-0.2224996,5.3959961,171,116,153
